Date,Customer,Product,Category,Quantity,Amount
2026-01-05,Acme Co,Widget A,Hardware,10,120.00
2026-01-06,Beta Inc,Widget B,Hardware,5,85.00
2026-01-08,Acme Co,Gadget X,Electronics,2,250.00
2026-01-10,Delta LLC,Widget A,Hardware,20,240.00
2026-01-12,Beta Inc,Gizmo Pro,Electronics,3,360.00
2026-01-15,Gamma Corp,Widget B,Hardware,8,136.00
2026-01-18,Acme Co,Widget A,Hardware,15,180.00
2026-01-20,Delta LLC,Gadget X,Electronics,4,500.00
2026-01-22,Epsilon Ltd,Gizmo Pro,Electronics,1,120.00
2026-01-25,Beta Inc,Widget A,Hardware,12,144.00
2026-02-02,Gamma Corp,Gadget X,Electronics,6,750.00
2026-02-05,Acme Co,Gizmo Pro,Electronics,2,240.00
2026-02-08,Delta LLC,Widget B,Hardware,10,170.00
2026-02-12,Epsilon Ltd,Widget A,Hardware,7,84.00
2026-02-15,Gamma Corp,Widget A,Hardware,9,108.00
2026-02-18,Beta Inc,Gadget X,Electronics,3,375.00
2026-02-20,Acme Co,Widget B,Hardware,11,187.00
2026-02-25,Epsilon Ltd,Gizmo Pro,Electronics,4,480.00
2026-03-01,Delta LLC,Gizmo Pro,Electronics,2,240.00
2026-03-05,Gamma Corp,Widget B,Hardware,14,238.00
